"Time (s) Run #1";"Sound Intensity, Ch B (V) Run #1";"Time (s) Run #2";"Sound Intensity, Ch B (V) Run #2";"Time (s) Run #3";"Sound Intensity, Ch B (V) Run #3";"Time (s) Run #4";"Sound Intensity, Ch B (V) Run #4"
0,000;-0,173;0,000;0,145;0,000;0,050;0,000;-0,007
2,000E-4;0,088;2,000E-4;-6,226E-4;2,000E-4;-0,028;2,000E-4;0,118
4,000E-4;0,051;4,000E-4;-0,119;4,000E-4;1,099E-4;4,000E-4;-0,183
6,000E-4;-0,162;6,000E-4;0,216;6,000E-4;0,032;6,000E-4;0,171
8,000E-4;0,209;8,000E-4;-0,211;8,000E-4;-0,049;8,000E-4;-0,105
0,001;-0,179;0,001;0,146;0,001;0,051;0,001;-0,003
0,001;0,082;0,001;-0,006;0,001;-0,026;0,001;0,116
0,001;0,044;0,001;-0,119;0,001;8,423E-4;0,001;-0,179
0,002;-0,158;0,002;0,219;0,002;0,031;0,002;0,179
0,002;0,210;0,002;-0,210;0,002;-0,043;0,002;-0,101
0,002;-0,182;0,002;0,146;0,002;0,052;0,002;-0,003
0,002;0,084;0,002;-0,008;0,002;-0,028;0,002;0,121
0,002;0,051;0,002;-0,117;0,002;0,001;0,002;-0,174
0,003;-0,160;0,003;0,214;0,003;0,036;0,003;0,180
0,003;0,212;0,003;-0,215;0,003;-0,046;0,003;-0,100
0,003;-0,176;0,003;0,146;0,003;0,054;0,003;-0,003
0,003;0,082;0,003;-0,012;0,003;-0,028;0,003;0,118
0,003;0,050;0,003;-0,118;0,003;0,003;0,003;-0,177
0,004;-0,158;0,004;0,215;0,004;0,031;0,004;0,177
0,004;0,208;0,004;-0,215;0,004;-0,047;0,004;-0,106
0,004;-0,178;0,004;0,144;0,004;0,051;0,004;-0,006
0,004;0,084;0,004;-0,014;0,004;-0,029;0,004;0,112
0,004;0,050;0,004;-0,123;0,004;0,007;0,004;-0,180
0,005;-0,160;0,005;0,212;0,005;0,031;0,005;0,178
0,005;0,210;0,005;-0,222;0,005;-0,046;0,005;-0,109
0,005;-0,181;0,005;0,148;0,005;0,050;0,005;-0,011
0,005;0,084;0,005;-0,015;0,005;-0,026;0,005;0,113
0,005;0,049;0,005;-0,119;0,005;0,002;0,005;-0,181
0,006;-0,154;0,006;0,213;0,006;0,033;0,006;0,177
0,006;0,210;0,006;-0,219;0,006;-0,047;0,006;-0,109
0,006;-0,180;0,006;0,148;0,006;0,053;0,006;-0,005
0,006;0,086;0,006;-0,017;0,006;-0,024;0,006;0,113
0,006;0,049;0,006;-0,116;0,006;0,005;0,006;-0,184
0,007;-0,154;0,007;0,212;0,007;0,037;0,007;0,172
0,007;0,213;0,007;-0,222;0,007;-0,045;0,007;-0,110
0,007;-0,181;0,007;0,148;0,007;0,054;0,007;-0,007
0,007;0,086;0,007;-0,019;0,007;-0,021;0,007;0,111
0,007;0,049;0,007;-0,123;0,007;0,006;0,007;-0,181
0,008;-0,155;0,008;0,208;0,008;0,036;0,008;0,174
0,008;0,213;0,008;-0,225;0,008;-0,044;0,008;-0,105
