"Time (s) Run #1";"Sound Intensity, Ch B (V) Run #1";"Time (s) Run #2";"Sound Intensity, Ch B (V) Run #2";"Time (s) Run #3";"Sound Intensity, Ch B (V) Run #3";"Time (s) Run #4";"Sound Intensity, Ch B (V) Run #4"
0,000;-0,096;0,000;-0,172;0,000;0,054;0,000;-0,100
2,000E-4;0,184;2,000E-4;0,127;2,000E-4;-0,015;2,000E-4;-0,023
4,000E-4;-0,186;4,000E-4;-0,049;4,000E-4;-0,028;4,000E-4;0,137
6,000E-4;0,134;6,000E-4;-0,062;6,000E-4;0,065;6,000E-4;-0,199
8,000E-4;-0,014;8,000E-4;0,143;8,000E-4;-0,074;8,000E-4;0,183
0,001;-0,097;0,001;-0,171;0,001;0,054;0,001;-0,100
0,001;0,183;0,001;0,131;0,001;-0,013;0,001;-0,023
0,001;-0,188;0,001;-0,043;0,001;-0,030;0,001;0,136
0,002;0,133;0,002;-0,064;0,002;0,066;0,002;-0,199
0,002;-0,017;0,002;0,140;0,002;-0,071;0,002;0,183
0,002;-0,096;0,002;-0,170;0,002;0,056;0,002;-0,098
0,002;0,184;0,002;0,131;0,002;-0,014;0,002;-0,025
0,002;-0,190;0,002;-0,044;0,002;-0,025;0,002;0,135
0,003;0,132;0,003;-0,064;0,003;0,062;0,003;-0,200
0,003;-0,013;0,003;0,142;0,003;-0,073;0,003;0,186
0,003;-0,096;0,003;-0,166;0,003;0,063;0,003;-0,098
0,003;0,184;0,003;0,129;0,003;-0,015;0,003;-0,024
0,003;-0,188;0,003;-0,042;0,003;-0,026;0,003;0,139
0,004;0,136;0,004;-0,063;0,004;0,065;0,004;-0,198
0,004;-0,015;0,004;0,143;0,004;-0,070;0,004;0,184
0,004;-0,095;0,004;-0,168;0,004;0,058;0,004;-0,099
0,004;0,185;0,004;0,134;0,004;-0,011;0,004;-0,021
0,004;-0,187;0,004;-0,042;0,004;-0,030;0,004;0,136
0,005;0,135;0,005;-0,058;0,005;0,066;0,005;-0,198
0,005;-0,012;0,005;0,146;0,005;-0,070;0,005;0,184
0,005;-0,094;0,005;-0,170;0,005;0,054;0,005;-0,098
0,005;0,183;0,005;0,131;0,005;-0,013;0,005;-0,022
0,005;-0,186;0,005;-0,043;0,005;-0,026;0,005;0,141
0,006;0,137;0,006;-0,058;0,006;0,066;0,006;-0,193
0,006;-0,011;0,006;0,139;0,006;-0,076;0,006;0,182
0,006;-0,099;0,006;-0,167;0,006;0,053;0,006;-0,098
0,006;0,185;0,006;0,133;0,006;-0,016;0,006;-0,022
0,006;-0,185;0,006;-0,041;0,006;-0,028;0,006;0,140
0,007;0,136;0,007;-0,058;0,007;0,066;0,007;-0,196
0,007;-0,016;0,007;0,142;0,007;-0,075;0,007;0,185
0,007;-0,097;0,007;-0,167;0,007;0,054;0,007;-0,099
0,007;0,179;0,007;0,132;0,007;-0,016;0,007;-0,023
0,007;-0,188;0,007;-0,043;0,007;-0,030;0,007;0,141
0,008;0,131;0,008;-0,057;0,008;0,066;0,008;-0,197
0,008;-0,015;0,008;0,144;0,008;-0,076;0,008;0,184
0,008;-0,098;0,008;-0,164;0,008;0,055;0,008;-0,097
0,008;0,182;0,008;0,135;0,008;-0,018;0,008;-0,024
0,008;-0,187;0,008;-0,043;0,008;-0,032;0,008;0,137
0,009;0,129;0,009;-0,057;0,009;0,066;0,009;-0,200
0,009;-0,018;0,009;0,144;0,009;-0,075;0,009;0,186
0,009;-0,099;0,009;-0,167;0,009;0,056;0,009;-0,096
0,009;0,179;0,009;0,130;0,009;-0,018;0,009;-0,022
0,009;-0,189;0,009;-0,049;0,009;-0,027;0,009;0,140
0,010;0,130;0,010;-0,060;0,010;0,065;0,010;-0,196
0,010;-0,014;0,010;0,141;0,010;-0,075;0,010;0,187
0,010;-0,103;0,010;-0,171;0,010;0,058;0,010;-0,095
0,010;0,179;0,010;0,132;0,010;-0,016;0,010;-0,024
0,010;-0,189;0,010;-0,046;0,010;-0,026;0,010;0,139
0,011;0,126;0,011;-0,061;0,011;0,067;0,011;-0,196
0,011;-0,019;0,011;0,139;0,011;-0,073;0,011;0,184
0,011;-0,098;0,011;-0,167;0,011;0,061;0,011;-0,098
0,011;0,180;0,011;0,134;0,011;-0,017;0,011;-0,026
0,011;-0,186;0,011;-0,043;0,011;-0,027;0,011;0,138
0,012;0,127;0,012;-0,055;0,012;0,065;0,012;-0,202
0,012;-0,017;0,012;0,142;0,012;-0,074;0,012;0,191
0,012;-0,102;0,012;-0,167;0,012;0,060;0,012;-0,095
0,012;0,184;0,012;0,133;0,012;-0,016;0,012;-0,022
0,012;-0,187;0,012;-0,044;0,012;-0,026;0,012;0,141
0,013;0,127;0,013;-0,059;0,013;0,067;0,013;-0,196
0,013;-0,019;0,013;0,143;0,013;-0,072;0,013;0,188
0,013;-0,103;0,013;-0,166;0,013;0,058;0,013;-0,098
0,013;0,183;0,013;0,130;0,013;-0,012;0,013;-0,017
0,013;-0,188;0,013;-0,041;0,013;-0,027;0,013;0,143
0,014;0,131;0,014;-0,056;0,014;0,071;0,014;-0,196
0,014;-0,013;0,014;0,143;0,014;-0,070;0,014;0,191
0,014;-0,100;0,014;-0,163;0,014;0,060;0,014;-0,099
0,014;0,179;0,014;0,136;0,014;-0,012;0,014;-0,019
0,014;-0,187;0,014;-0,039;0,014;-0,026;0,014;0,141
0,015;0,129;0,015;-0,057;0,015;0,067;0,015;-0,195
0,015;-0,017;0,015;0,146;0,015;-0,071;0,015;0,191
0,015;-0,101;0,015;-0,167;0,015;0,059;0,015;-0,097
0,015;0,177;0,015;0,132;0,015;-0,016;0,015;-0,023
0,015;-0,189;0,015;-0,041;0,015;-0,030;0,015;0,145
0,016;0,128;0,016;-0,058;0,016;0,068;0,016;-0,194
0,016;-0,015;0,016;0,143;0,016;-0,074;0,016;0,193
0,016;-0,101;0,016;-0,167;0,016;0,059;0,016;-0,097
0,016;0,180;0,016;0,133;0,016;-0,019;0,016;-0,022
0,016;-0,194;0,016;-0,040;0,016;-0,028;0,016;0,142
0,017;0,127;0,017;-0,061;0,017;0,068;0,017;-0,198
0,017;-0,019;0,017;0,143;0,017;-0,071;0,017;0,190
0,017;-0,103;0,017;-0,163;0,017;0,057;0,017;-0,094
0,017;0,183;0,017;0,133;0,017;-0,015;0,017;-0,017
0,017;-0,190;0,017;-0,040;0,017;-0,031;0,017;0,143
0,018;0,124;0,018;-0,064;0,018;0,061;0,018;-0,191
0,018;-0,016;0,018;0,148;0,018;-0,068;0,018;0,185
0,018;-0,102;0,018;-0,165;0,018;0,059;0,018;-0,099
