"Time (s) Run #1";"Sound Intensity, Ch B (V) Run #1";"Time (s) Run #2";"Sound Intensity, Ch B (V) Run #2";"Time (s) Run #3";"Sound Intensity, Ch B (V) Run #3";"Time (s) Run #4";"Sound Intensity, Ch B (V) Run #4"
0,018;0,176;0,018;0,133;0,018;-0,018;0,018;-0,016
0,018;-0,194;0,018;-0,040;0,018;-0,026;0,018;0,142
0,019;0,128;0,019;-0,056;0,019;0,065;0,019;-0,201
0,019;-0,015;0,019;0,144;0,019;-0,075;0,019;0,187
0,019;-0,101;0,019;-0,164;0,019;0,055;0,019;-0,100
0,019;0,182;0,019;0,129;0,019;-0,014;0,019;-0,023
0,019;-0,186;0,019;-0,040;0,019;-0,031;0,019;0,142
0,020;0,129;0,020;-0,058;0,020;0,064;0,020;-0,200
0,020;-0,013;0,020;0,143;0,020;-0,076;0,020;0,187
0,020;-0,099;0,020;-0,167;0,020;0,059;0,020;-0,096
0,020;0,182;0,020;0,130;0,020;-0,014;0,020;-0,024
0,020;-0,188;0,020;-0,042;0,020;-0,030;0,020;0,143
0,021;0,127;0,021;-0,059;0,021;0,069;0,021;-0,202
0,021;-0,017;0,021;0,143;0,021;-0,069;0,021;0,186
0,021;-0,102;0,021;-0,165;0,021;0,056;0,021;-0,097
0,021;0,183;0,021;0,131;0,021;-0,013;0,021;-0,024
0,021;-0,190;0,021;-0,040;0,021;-0,027;0,021;0,140
0,022;0,129;0,022;-0,060;0,022;0,070;0,022;-0,197
0,022;-0,018;0,022;0,145;0,022;-0,072;0,022;0,190
0,022;-0,104;0,022;-0,166;0,022;0,061;0,022;-0,093
0,022;0,180;0,022;0,130;0,022;-0,012;0,022;-0,021
0,022;-0,190;0,022;-0,037;0,022;-0,029;0,022;0,143
0,023;0,128;0,023;-0,059;0,023;0,068;0,023;-0,194
0,023;-0,015;0,023;0,145;0,023;-0,072;0,023;0,192
0,023;-0,099;0,023;-0,166;0,023;0,061;0,023;-0,095
0,023;0,184;0,023;0,132;0,023;-0,013;0,023;-0,021
0,023;-0,189;0,023;-0,042;0,023;-0,025;0,023;0,144
0,024;0,129;0,024;-0,061;0,024;0,065;0,024;-0,199
0,024;-0,017;0,024;0,143;0,024;-0,072;0,024;0,186
0,024;-0,101;0,024;-0,167;0,024;0,062;0,024;-0,096
0,024;0,181;0,024;0,131;0,024;-0,010;0,024;-0,024
0,024;-0,190;0,024;-0,045;0,024;-0,034;0,024;0,140
0,025;0,126;0,025;-0,061;0,025;0,060;0,025;-0,202
0,025;-0,015;0,025;0,145;0,025;-0,074;0,025;0,184
0,025;-0,103;0,025;-0,165;0,025;0,056;0,025;-0,095
0,025;0,177;0,025;0,130;0,025;-0,014;0,025;-0,027
0,025;-0,187;0,025;-0,042;0,025;-0,026;0,025;0,145
0,026;0,129;0,026;-0,060;0,026;0,067;0,026;-0,200
0,026;-0,017;0,026;0,144;0,026;-0,073;0,026;0,183
0,026;-0,098;0,026;-0,163;0,026;0,056;0,026;-0,096
0,026;0,182;0,026;0,130;0,026;-0,009;0,026;-0,034
0,026;-0,189;0,026;-0,040;0,026;-0,020;0,026;0,136
0,027;0,133;0,027;-0,063;0,027;0,074;0,027;-0,197
0,027;-0,014;0,027;0,143;0,027;-0,072;0,027;0,188
0,027;-0,102;0,027;-0,168;0,027;0,055;0,027;-0,098
0,027;0,188;0,027;0,130;0,027;-0,016;0,027;-0,027
0,027;-0,186;0,027;-0,044;0,027;-0,033;0,027;0,143
0,028;0,132;0,028;-0,064;0,028;0,061;0,028;-0,201
0,028;-0,011;0,028;0,142;0,028;-0,078;0,028;0,187
0,028;-0,098;0,028;-0,165;0,028;0,053;0,028;-0,099
0,028;0,182;0,028;0,132;0,028;-0,016;0,028;-0,024
0,028;-0,186;0,028;-0,036;0,028;-0,029;0,028;0,142
0,029;0,130;0,029;-0,057;0,029;0,067;0,029;-0,202
0,029;-0,011;0,029;0,143;0,029;-0,071;0,029;0,188
0,029;-0,101;0,029;-0,166;0,029;0,057;0,029;-0,096
0,029;0,180;0,029;0,133;0,029;-0,018;0,029;-0,022
0,029;-0,186;0,029;-0,038;0,029;-0,031;0,029;0,141
0,030;0,129;0,030;-0,061;0,030;0,071;0,030;-0,197
0,030;-0,015;0,030;0,142;0,030;-0,072;0,030;0,189
0,030;-0,102;0,030;-0,167;0,030;0,056;0,030;-0,097
0,030;0,182;0,030;0,133;0,030;-0,017;0,030;-0,023
0,030;-0,188;0,030;-0,039;0,030;-0,031;0,030;0,140
0,031;0,128;0,031;-0,060;0,031;0,066;0,031;-0,203
0,031;-0,018;0,031;0,142;0,031;-0,073;0,031;0,187
0,031;-0,097;0,031;-0,165;0,031;0,056;0,031;-0,096
0,031;0,182;0,031;0,135;0,031;-0,016;0,031;-0,022
0,031;-0,187;0,031;-0,034;0,031;-0,034;0,031;0,143
0,032;0,130;0,032;-0,056;0,032;0,067;0,032;-0,199
0,032;-0,018;0,032;0,150;0,032;-0,073;0,032;0,188
0,032;-0,102;0,032;-0,163;0,032;0,054;0,032;-0,097
0,032;0,181;0,032;0,137;0,032;-0,014;0,032;-0,023
0,032;-0,188;0,032;-0,034;0,032;-0,030;0,032;0,143
0,033;0,130;0,033;-0,059;0,033;0,070;0,033;-0,204
0,033;-0,016;0,033;0,143;0,033;-0,068;0,033;0,187
0,033;-0,097;0,033;-0,162;0,033;0,061;0,033;-0,099
0,033;0,183;0,033;0,134;0,033;-0,009;0,033;-0,024
0,033;-0,186;0,033;-0,039;0,033;-0,027;0,033;0,143
0,034;0,133;0,034;-0,058;0,034;0,065;0,034;-0,198
0,034;-0,014;0,034;0,150;0,034;-0,078;0,034;0,187
0,034;-0,100;0,034;-0,162;0,034;0,057;0,034;-0,098
0,034;0,183;0,034;0,135;0,034;-0,011;0,034;-0,022
0,034;-0,191;0,034;-0,038;0,034;-0,030;0,034;0,147
0,035;0,127;0,035;-0,056;0,035;0,068;0,035;-0,198
0,035;-0,017;0,035;0,147;0,035;-0,074;0,035;0,188
0,035;-0,099;0,035;-0,159;0,035;0,057;0,035;-0,098
0,035;0,177;0,035;0,132;0,035;-0,019;0,035;-0,020
0,035;-0,188;0,035;-0,039;0,035;-0,030;0,035;0,141
0,036;0,130;0,036;-0,055;0,036;0,069;0,036;-0,200
0,036;-0,013;0,036;0,148;0,036;-0,072;0,036;0,188
0,036;-0,101;0,036;-0,160;0,036;0,062;0,036;-0,098
0,036;0,185;0,036;0,135;0,036;-0,012;0,036;-0,024
0,036;-0,182;0,036;-0,038;0,036;-0,029;0,036;0,147
0,037;0,127;0,037;-0,061;0,037;0,067;0,037;-0,201
0,037;-0,014;0,037;0,145;0,037;-0,072;0,037;0,187
0,037;-0,099;0,037;-0,162;0,037;0,055;0,037;-0,096
0,037;0,186;0,037;0,130;0,037;-0,017;0,037;-0,021
0,037;-0,185;0,037;-0,043;0,037;-0,033;0,037;0,140
0,038;0,131;0,038;-0,061;0,038;0,065;0,038;-0,202
0,038;-0,014;0,038;0,146;0,038;-0,074;0,038;0,185
0,038;-0,096;0,038;-0,167;0,038;0,058;0,038;-0,099
0,038;0,184;0,038;0,130;0,038;-0,015;0,038;-0,024
0,038;-0,186;0,038;-0,041;0,038;-0,027;0,038;0,141
0,039;0,130;0,039;-0,061;0,039;0,067;0,039;-0,202
0,039;-0,011;0,039;0,144;0,039;-0,071;0,039;0,184
0,039;-0,100;0,039;-0,167;0,039;0,058;0,039;-0,100
0,039;0,182;0,039;0,131;0,039;-0,015;0,039;-0,025
0,039;-0,184;0,039;-0,042;0,039;-0,032;0,039;0,139
0,040;0,128;0,040;-0,065;0,040;0,068;0,040;-0,205
0,040;-0,011;0,040;0,140;0,040;-0,077;0,040;0,181
0,040;-0,097;0,040;-0,164;0,040;0,056;0,040;-0,103
0,040;0,186;0,040;0,126;0,040;-0,013;0,040;-0,027
0,040;-0,185;0,040;-0,039;0,040;-0,032;0,040;0,139
0,041;0,132;0,041;-0,063;0,041;0,069;0,041;-0,202
0,041;-0,011;0,041;0,144;0,041;-0,073;0,041;0,186
0,041;-0,098;0,041;-0,166;0,041;0,064;0,041;-0,098
0,041;0,186;0,041;0,129;0,041;-0,009;0,041;-0,027
0,041;-0,183;0,041;-0,035;0,041;-0,026;0,041;0,146
0,042;0,135;0,042;-0,060;0,042;0,072;0,042;-0,200
0,042;-0,010;0,042;0,145;0,042;-0,071;0,042;0,190
0,042;-0,101;0,042;-0,162;0,042;0,058;0,042;-0,095
0,042;0,186;0,042;0,131;0,042;-0,010;0,042;-0,025
0,042;-0,184;0,042;-0,039;0,042;-0,029;0,042;0,142
0,043;0,128;0,043;-0,063;0,043;0,067;0,043;-0,204
0,043;-0,014;0,043;0,148;0,043;-0,074;0,043;0,186
0,043;-0,099;0,043;-0,163;0,043;0,058;0,043;-0,098
0,043;0,186;0,043;0,127;0,043;-0,012;0,043;-0,025
0,043;-0,187;0,043;-0,039;0,043;-0,026;0,043;0,142
0,044;0,131;0,044;-0,062;0,044;0,068;0,044;-0,202
0,044;-0,011;0,044;0,147;0,044;-0,069;0,044;0,190
0,044;-0,097;0,044;-0,167;0,044;0,060;0,044;-0,099
0,044;0,186;0,044;0,129;0,044;-0,016;0,044;-0,027
0,044;-0,186;0,044;-0,038;0,044;-0,032;0,044;0,146
0,045;0,132;0,045;-0,066;0,045;0,066;0,045;-0,202
0,045;-0,014;0,045;0,145;0,045;-0,074;0,045;0,184
0,045;-0,098;0,045;-0,169;0,045;0,054;0,045;-0,099
0,045;0,185;0,045;0,129;0,045;-0,013;0,045;-0,027
0,045;-0,189;0,045;-0,042;0,045;-0,022;0,045;0,141
0,046;0,131;0,046;-0,062;0,046;0,070;0,046;-0,203
0,046;-0,013;0,046;0,148;0,046;-0,073;0,046;0,186
0,046;-0,096;0,046;-0,167;0,046;0,057;0,046;-0,105
0,046;0,186;0,046;0,126;0,046;-0,014;0,046;-0,030
0,046;-0,186;0,046;-0,041;0,046;-0,031;0,046;0,142
0,047;0,133;0,047;-0,066;0,047;0,066;0,047;-0,206
0,047;-0,013;0,047;0,140;0,047;-0,074;0,047;0,188
0,047;-0,102;0,047;-0,169;0,047;0,063;0,047;-0,102
0,047;0,180;0,047;0,125;0,047;-0,009;0,047;-0,029
0,047;-0,192;0,047;-0,041;0,047;-0,029;0,047;0,140
0,048;0,131;0,048;-0,063;0,048;0,068;0,048;-0,204
0,048;-0,014;0,048;0,141;0,048;-0,077;0,048;0,183
0,048;-0,101;0,048;-0,172;0,048;0,061;0,048;-0,098
0,048;0,186;0,048;0,127;0,048;-0,016;0,048;-0,025
0,048;-0,192;0,048;-0,044;0,048;-0,032;0,048;0,139
0,049;0,130;0,049;-0,066;0,049;0,065;0,049;-0,205
0,049;-0,016;0,049;0,139;0,049;-0,077;0,049;0,186
0,049;-0,100;0,049;-0,170;0,049;0,054;0,049;-0,100
0,049;0,186;0,049;0,129;0,049;-0,020;0,049;-0,024
0,049;-0,188;0,049;-0,044;0,049;-0,030;0,049;0,146
0,050;0,128;0,050;-0,064;0,050;0,069;0,050;-0,203
0,050;-0,013;0,050;0,138;0,050;-0,070;0,050;0,189
0,050;-0,101;0,050;-0,169;0,050;0,058;0,050;-0,099
0,050;0,184;0,050;0,130;0,050;-0,010;0,050;-0,025
0,050;-0,189;0,050;-0,039;0,050;-0,029;0,050;0,145
0,051;0,131;0,051;-0,063;0,051;0,066;0,051;-0,202
0,051;-0,011;0,051;0,141;0,051;-0,074;0,051;0,189
0,051;-0,099;0,051;-0,165;0,051;0,060;0,051;-0,104
0,051;0,186;0,051;0,131;0,051;-0,011;0,051;-0,028
0,051;-0,188;0,051;-0,041;0,051;-0,030;0,051;0,141
0,052;0,128;0,052;-0,064;0,052;0,066;0,052;-0,203
0,052;-0,014;0,052;0,145;0,052;-0,076;0,052;0,188
0,052;-0,101;0,052;-0,162;0,052;0,056;0,052;-0,100
0,052;0,183;0,052;0,131;0,052;-0,016;0,052;-0,026
0,052;-0,190;0,052;-0,037;0,052;-0,033;0,052;0,144
0,053;0,124;0,053;-0,063;0,053;0,070;0,053;-0,200
0,053;-0,014;0,053;0,138;0,053;-0,072;0,053;0,191
0,053;-0,101;0,053;-0,163;0,053;0,061;0,053;-0,099
0,053;0,180;0,053;0,131;0,053;-0,007;0,053;-0,023
0,053;-0,196;0,053;-0,040;0,053;-0,028;0,053;0,143
0,054;0,126;0,054;-0,062;0,054;0,069;0,054;-0,203
0,054;-0,021;0,054;0,145;0,054;-0,074;0,054;0,187
0,054;-0,106;0,054;-0,170;0,054;0,056;0,054;-0,102
0,054;0,180;0,054;0,129;0,054;-0,011;0,054;-0,021
0,054;-0,194;0,054;-0,038;0,054;-0,032;0,054;0,146
0,055;0,124;0,055;-0,060;0,055;0,064;0,055;-0,201
0,055;-0,019;0,055;0,148;0,055;-0,080;0,055;0,192
0,055;-0,109;0,055;-0,164;0,055;0,056;0,055;-0,096
0,055;0,183;0,055;0,131;0,055;-0,016;0,055;-0,019
0,055;-0,191;0,055;-0,036;0,055;-0,031;0,055;0,151
0,056;0,125;0,056;-0,064;0,056;0,070;0,056;-0,199
0,056;-0,022;0,056;0,145;0,056;-0,071;0,056;0,192
0,056;-0,107;0,056;-0,162;0,056;0,060;0,056;-0,093
0,056;0,182;0,056;0,129;0,056;-0,013;0,056;-0,015
0,056;-0,190;0,056;-0,038;0,056;-0,028;0,056;0,149
0,057;0,125;0,057;-0,063;0,057;0,066;0,057;-0,201
0,057;-0,018;0,057;0,145;0,057;-0,076;0,057;0,192
0,057;-0,105;0,057;-0,168;0,057;0,060;0,057;-0,098
0,057;0,182;0,057;0,131;0,057;-0,014;0,057;-0,024
0,057;-0,188;0,057;-0,037;0,057;-0,032;0,057;0,143
0,058;0,130;0,058;-0,060;0,058;0,069;0,058;-0,200
0,058;-0,014;0,058;0,140;0,058;-0,077;0,058;0,191
0,058;-0,102;0,058;-0,167;0,058;0,059;0,058;-0,100
0,058;0,181;0,058;0,130;0,058;-0,013;0,058;-0,021
0,058;-0,192;0,058;-0,037;0,058;-0,031;0,058;0,147
0,059;0,128;0,059;-0,064;0,059;0,067;0,059;-0,205
0,059;-0,016;0,059;0,144;0,059;-0,072;0,059;0,189
0,059;-0,103;0,059;-0,166;0,059;0,063;0,059;-0,097
0,059;0,183;0,059;0,124;0,059;-0,014;0,059;-0,025
0,059;-0,194;0,059;-0,039;0,059;-0,030;0,059;0,140
0,060;0,124;0,060;-0,063;0,060;0,067;0,060;-0,202
0,060;-0,018;0,060;0,142;0,060;-0,073;0,060;0,192
0,060;-0,104;0,060;-0,164;0,060;0,056;0,060;-0,100
0,060;0,185;0,060;0,127;0,060;-0,015;0,060;-0,023
0,060;-0,191;0,060;-0,037;0,060;-0,032;0,060;0,144
0,061;0,122;0,061;-0,065;0,061;0,068;0,061;-0,202
0,061;-0,016;0,061;0,142;0,061;-0,075;0,061;0,188
0,061;-0,104;0,061;-0,169;0,061;0,060;0,061;-0,100
0,061;0,182;0,061;0,132;0,061;-0,018;0,061;-0,027
0,061;-0,191;0,061;-0,035;0,061;-0,029;0,061;0,142
0,062;0,125;0,062;-0,060;0,062;0,068;0,062;-0,206
0,062;-0,017;0,062;0,143;0,062;-0,076;0,062;0,191
0,062;-0,102;0,062;-0,164;0,062;0,058;0,062;-0,099
0,062;0,186;0,062;0,133;0,062;-0,012;0,062;-0,021
0,062;-0,198;0,062;-0,040;0,062;-0,030;0,062;0,146
0,063;0,124;0,063;-0,064;0,063;0,066;0,063;-0,203
0,063;-0,020;0,063;0,151;0,063;-0,079;0,063;0,189
0,063;-0,103;0,063;-0,162;0,063;0,055;0,063;-0,099
0,063;0,190;0,063;0,132;0,063;-0,010;0,063;-0,026
0,063;-0,187;0,063;-0,036;0,063;-0,032;0,063;0,148
0,064;0,132;0,064;-0,062;0,064;0,068;0,064;-0,201
0,064;-0,009;0,064;0,146;0,064;-0,073;0,064;0,194
0,064;-0,099;0,064;-0,166;0,064;0,062;0,064;-0,101
0,064;0,192;0,064;0,133;0,064;-0,010;0,064;-0,027
0,064;-0,185;0,064;-0,033;0,064;-0,030;0,064;0,146
0,065;0,120;0,065;-0,063;0,065;0,065;0,065;-0,200
0,065;-0,021;0,065;0,145;0,065;-0,075;0,065;0,194
0,065;-0,095;0,065;-0,165;0,065;0,054;0,065;-0,098
0,065;0,204;0,065;0,131;0,065;-0,014;0,065;-0,026
0,065;-0,174;0,065;-0,033;0,065;-0,032;0,065;0,150
0,066;0,125;0,066;-0,066;0,066;0,070;0,066;-0,199
0,066;-0,021;0,066;0,145;0,066;-0,072;0,066;0,192
0,066;-0,108;0,066;-0,166;0,066;0,060;0,066;-0,100
0,066;0,187;0,066;0,131;0,066;-0,016;0,066;-0,032
0,066;-0,179;0,066;-0,036;0,066;-0,032;0,066;0,144
0,067;0,131;0,067;-0,066;0,067;0,068;0,067;-0,202
0,067;-0,017;0,067;0,144;0,067;-0,071;0,067;0,188
0,067;-0,104;0,067;-0,166;0,067;0,058;0,067;-0,098
0,067;0,181;0,067;0,133;0,067;-0,013;0,067;-0,026
0,067;-0,194;0,067;-0,037;0,067;-0,034;0,067;0,144
0,068;0,132;0,068;-0,063;0,068;0,068;0,068;-0,206
0,068;-0,011;0,068;0,145;0,068;-0,073;0,068;0,190
0,068;-0,099;0,068;-0,163;0,068;0,059;0,068;-0,097
0,068;0,189;0,068;0,133;0,068;-0,011;0,068;-0,026
0,068;-0,182;0,068;-0,036;0,068;-0,031;0,068;0,146
0,069;0,131;0,069;-0,062;0,069;0,063;0,069;-0,204
0,069;-0,015;0,069;0,146;0,069;-0,074;0,069;0,189
0,069;-0,105;0,069;-0,161;0,069;0,052;0,069;-0,097
0,069;0,177;0,069;0,134;0,069;-0,013;0,069;-0,022
0,069;-0,196;0,069;-0,035;0,069;-0,033;0,069;0,141
0,070;0,132;0,070;-0,058;0,070;0,066;0,070;-0,205
0,070;-0,007;0,070;0,147;0,070;-0,076;0,070;0,188
0,070;-0,099;0,070;-0,163;0,070;0,055;0,070;-0,102
0,070;0,183;0,070;0,130;0,070;-0,016;0,070;-0,026
0,070;-0,194;0,070;-0,035;0,070;-0,034;0,070;0,144
0,071;0,123;0,071;-0,058;0,071;0,069;0,071;-0,203
0,071;-0,010;0,071;0,149;0,071;-0,073;0,071;0,188
0,071;-0,101;0,071;-0,160;0,071;0,060;0,071;-0,098
0,071;0,189;0,071;0,130;0,071;-0,011;0,071;-0,026
0,071;-0,186;0,071;-0,035;0,071;-0,032;0,071;0,143
0,072;0,131;0,072;-0,063;0,072;0,072;0,072;-0,201
0,072;-0,015;0,072;0,147;0,072;-0,075;0,072;0,191
0,072;-0,105;0,072;-0,161;0,072;0,057;0,072;-0,101
0,072;0,185;0,072;0,128;0,072;-0,013;0,072;-0,022
0,072;-0,189;0,072;-0,032;0,072;-0,032;0,072;0,148
0,073;0,130;0,073;-0,057;0,073;0,065;0,073;-0,202
0,073;-0,016;0,073;0,149;0,073;-0,074;0,073;0,190
0,073;-0,109;0,073;-0,164;0,073;0,059;0,073;-0,097
0,073;0,183;0,073;0,133;0,073;-0,011;0,073;-0,023
0,073;-0,193;0,073;-0,035;0,073;-0,027;0,073;0,149
0,074;0,125;0,074;-0,062;0,074;0,070;0,074;-0,200
0,074;-0,016;0,074;0,146;0,074;-0,073;0,074;0,195
0,074;-0,102;0,074;-0,165;0,074;0,057;0,074;-0,095
0,074;0,187;0,074;0,134;0,074;-0,007;0,074;-0,023
0,074;-0,188;0,074;-0,034;0,074;-0,025;0,074;0,142
0,075;0,126;0,075;-0,061;0,075;0,072;0,075;-0,201
0,075;-0,018;0,075;0,147;0,075;-0,073;0,075;0,189
0,075;-0,105;0,075;-0,157;0,075;0,059;0,075;-0,099
0,075;0,187;0,075;0,130;0,075;-0,011;0,075;-0,024
0,075;-0,191;0,075;-0,035;0,075;-0,027;0,075;0,142
0,076;0,124;0,076;-0,060;0,076;0,070;0,076;-0,201
0,076;-0,021;0,076;0,144;0,076;-0,075;0,076;0,190
0,076;-0,110;0,076;-0,163;0,076;0,061;0,076;-0,099
0,076;0,180;0,076;0,130;0,076;-0,008;0,076;-0,025
0,076;-0,192;0,076;-0,033;0,076;-0,029;0,076;0,141
0,077;0,124;0,077;-0,062;0,077;0,069;0,077;-0,203
0,077;-0,012;0,077;0,149;0,077;-0,076;0,077;0,195
0,077;-0,104;0,077;-0,166;0,077;0,057;0,077;-0,098
0,077;0,189;0,077;0,128;0,077;-0,011;0,077;-0,024
0,077;-0,192;0,077;-0,035;0,077;-0,033;0,077;0,142
0,078;0,127;0,078;-0,059;0,078;0,065;0,078;-0,207
0,078;-0,015;0,078;0,144;0,078;-0,079;0,078;0,192
0,078;-0,106;0,078;-0,162;0,078;0,060;0,078;-0,101
0,078;0,186;0,078;0,129;0,078;-0,011;0,078;-0,028
0,078;-0,189;0,078;-0,035;0,078;-0,034;0,078;0,142
0,079;0,128;0,079;-0,066;0,079;0,070;0,079;-0,206
0,079;-0,016;0,079;0,144;0,079;-0,071;0,079;0,188
0,079;-0,106;0,079;-0,167;0,079;0,062;0,079;-0,105
0,079;0,183;0,079;0,124;0,079;-0,012;0,079;-0,025
0,079;-0,188;0,079;-0,037;0,079;-0,031;0,079;0,144
